,m1,m2,m3,width_plus_height
book22,0.06841611996251172,52.514526710403,0.0003335209999981714,6250
book5,0.02530459231490159,54.83411433926898,-4.7489999985828035e-06,6250
book26,0.18837863167760074,44.04123711340206,0.0001978230000005965,6250
book32,0.10402999062792877,48.14526710402999,-0.00014626799999817308,6250
book33,0.12089971883786317,46.32427366447985,-1.4791000001679322e-05,6250
book27,0.11433926897844424,49.34114339268979,3.523900000246272e-05,6250
book4,0.028116213683223992,63.22867853795689,0.00019513799999870685,6250
book6,0.022492970946579195,54.58669165885661,7.755800000097679e-05,6250
book19,0.07497656982193064,52.45829428303655,0.00012832200000190142,6250
book31,0.09184629803186505,49.15651358950328,-8.876299999727166e-05,6250
book25,0.18181818181818182,44.14339268978444,3.398800000198321e-05,6250
book24,0.18275538894095594,46.5360824742268,0.00010896000000215622,6250
book30,0.030927835051546393,53.456419868791,0.00018204199999871662,6250
book18,0.08716026241799438,50.416119962511715,0.00013057999999688263,6250
book7,0.10028116213683223,50.05716963448922,-6.278300000062131e-05,6250
book15,0.1021555763823805,49.52296157450797,0.0001284790000006808,6250
book29,0.08528584817244611,50.765698219306465,3.612000000430271e-05,6250
book28,0.07591377694470477,50.45829428303655,-0.0001930669999978818,6250
book14,0.06560449859418932,56.25210871602624,-4.912000001411343e-06,6250
book9,0.1049671977507029,51.66916588566073,3.352600000283701e-05,6250
book16,0.16869728209934395,46.379568884723525,-1.1906999993982481e-05,6250
book17,0.12839737582005623,45.577319587628864,0.00012049600000807459,6250
book8,0.09653233364573571,50.80131208997189,-0.00013731699999652847,6250
book13,0.15370196813495782,46.2642924086223,-3.879999999867323e-05,6250
book12,0.11808809746954077,46.64667291471415,-5.722800000285133e-05,6250
book38,0.06935332708528585,49.862230552952205,-4.0329999997368304e-05,6250
book10,0.1780693533270853,46.05154639175258,-1.4815000000112377e-05,6250
book11,0.16213683223992503,48.313964386129335,6.680399999225983e-05,6250
book39,0.09840674789128398,48.313964386129335,0.0009683620000018323,6250
book89,0.05529522024367385,51.14151827553889,2.1394000000896085e-05,6250
book76,0.026241799437675725,53.83411433926898,0.00013811499999860644,6250
book62,0.05998125585754452,70.95595126522961,6.1823999999433e-05,6250
book101,0.12933458294283037,48.931583880037486,-6.838000004449896e-06,6250
book100,0.07685098406747891,50.52108716026242,-9.708999996860257e-06,6250
book63,0.029053420805998126,55.329896907216494,-4.3021999999837135e-05,6250
book77,0.056232427366447985,53.42924086223055,-0.0004915140000036899,6250
book88,0.041237113402061855,51.82380506091846,0.0001390370000109442,6250
book61,0.06091846298031865,52.677600749765695,0.00013722699999618726,6250
book75,0.04311152764761012,52.236176194939084,0.00013592200000545063,6250
book49,0.03655107778819119,57.16494845360825,-1.1899999996956012e-05,6250
book102,0.08528584817244611,50.283036551077785,-5.491299999249577e-05,6250
book103,0.046860356138706656,53.04779756326148,-5.811500000163505e-05,6250
book48,0.02717900656044986,55.50140581068416,2.6728999998226755e-05,6250
book74,0.1134020618556701,57.06185567010309,6.22630000037816e-05,6250
book60,0.04029990627928772,50.7244611059044,4.759899999839945e-05,6250
book58,0.04498594189315839,54.52108716026242,3.203200000001516e-05,6250
book64,0.06091846298031865,50.55576382380506,0.0007504060000016466,6250
book70,0.13495782567947517,50.16776007497657,-0.00010681799999900932,6250
book107,0.041237113402061855,53.89784442361762,0.00016264899999640647,6250
book106,0.05716963448922212,52.61012183692596,0.0005614079999958221,6250
book71,0.08809746954076851,51.246485473289596,-0.000889035000000149,6250
book65,0.04498594189315839,54.50984067478913,0.00022202300000628838,6250
book59,0.08622305529522024,56.839737582005625,0.0010881039999972586,6250
book98,0.031865042174320526,53.70384254920337,-8.543299999530518e-05,6250
book73,0.03467666354264293,62.70571696344892,0.0007551359999951046,6250
book67,0.05998125585754452,53.00187441424555,-0.00046251499999527823,6250
book110,0.08247422680412371,50.27460168697282,0.00010938400000526372,6250
book104,0.04311152764761012,53.0253045923149,5.182999998964988e-06,6250
book105,0.04217432052483599,54.39831302717901,-2.665600000284485e-05,6250
book66,0.056232427366447985,57.180880974695405,6.60639999949808e-05,6250
book72,0.030927835051546393,54.94845360824742,-0.00042939100000438657,6250
book99,0.07685098406747891,49.089034676663545,0.00012665000000566806,6250
